fechahora , ENEL GREEN POWER PERU S.A. -WAYRAI, ENERGÍA EÓLICA S.A. -EOLICO_CUPISNIQUE, ENERGÍA EÓLICA S.A. -EOLICO_TALARA, PARQUE EOLICO MARCONA S.A.C. -EOLICO_MARCONA, PARQUE EOLICO TRES HERMANAS S.A.C. -EOLICO_3HERMANAS
01/03/2020 00:15, 25.058760, 19.490780, 2.329560, 16.764810, 40.767620
01/03/2020 00:30, 20.818910, 15.364840, 2.504990, 15.248390, 39.357660
01/03/2020 00:45, 19.843160, 16.142780, 2.4668, 13.865110, 37.691140
01/03/2020 01:00, 27.148620, 15.752110, 1.959970, 13.920930, 33.5362
01/03/2020 01:15, 29.704290, 14.013650, 1.762480, 13.428290, 35.190880
01/03/2020 01:30, 34.322190, 14.254250, 1.601660, 13.193990, 33.119070
01/03/2020 01:45, 40.324110, 14.625240, 2.616320, 13.794630, 30.7633
01/03/2020 02:00, 52.434660, 15.309410, 2.922130, 15.897650, 32.100650
01/03/2020 02:15, 55.027410, 18.609140, 1.749020, 15.247340, 32.6288
01/03/2020 02:30, 52.309440, 21.897870, 1.138320, 13.878950, 31.333530
01/03/2020 02:45, 41.657440, 20.527420, 1.146830, 12.509230, 28.457730
01/03/2020 03:00, 35.473790, 16.4519, 1.026110, 14.073440, 29.456330
01/03/2020 03:15, 32.192510, 22.665850, 0.816240, 16.131450, 26.308880
01/03/2020 03:30, 29.895240, 25.296110, 0, 15.805680, 29.974780
01/03/2020 03:45, 24.181210, 20.890350, 0, 19.400430, 33.451210
01/03/2020 04:00, 19.995030, 20.694780, 0.051570, 18.973010, 35.944040
01/03/2020 04:15, 20.047940, 19.230260, 0.771070, 16.111420, 40.221350
01/03/2020 04:30, 15.403630, 28.582850, 0.2256, 16.962240, 39.584450
01/03/2020 04:45, 13.756370, 27.7494, 0.708790, 18.054850, 39.047740
01/03/2020 05:00, 12.4555, 28.702650, 2.268240, 14.164920, 35.025850
01/03/2020 05:15, 9.427170, 27.003460, 3.143430, 12.908170, 32.589290
01/03/2020 05:30, 8.103950, 14.617970, 3.399340, 15.150980, 32.389680
01/03/2020 05:45, 11.621990, 7.660680, 2.886010, 16.477930, 31.570110
01/03/2020 06:00, 17.198520, 5.819250, 2.635590, 16.613730, 35.575410
01/03/2020 06:15, 26.304170, 5.129440, 3.843890, 19.437240, 41.538690
01/03/2020 06:30, 32.74, 4.7029, 5.135280, 19.7278, 49.560330
01/03/2020 06:45, 36.367460, 4.181250, 5.842810, 20.709650, 51.034270
01/03/2020 07:00, 40.376190, 1.676910, 6.361290, 23.111010, 54.390590
01/03/2020 07:15, 40.858890, 0.903710, 8.0228, 22.699270, 57.473670
01/03/2020 07:30, 42.102270, 1.628310, 10.319720, 19.404850, 51.135260
01/03/2020 07:45, 31.703720, 0, 14.100010, 12.310630, 37.446650
01/03/2020 08:00, 21.470850, 0, 15.383020, 12.073090, 27.548030
01/03/2020 08:15, 15.131630, 0, 16.335170, 8.078150, 23.694590
01/03/2020 08:30, 9.683820, 0, 13.233050, 10.934850, 23.086340
01/03/2020 08:45, 5.942610, 0, 12.071150, 10.246960, 20.257280
01/03/2020 09:00, 2.274460, 0.813020, 12.277470, 8.980020, 19.074980
01/03/2020 09:15, 0.825180, 0.066680, 12.857330, 7.850410, 19.326820
01/03/2020 09:30, 0.903250, 2.355090, 15.274930, 7.199810, 20.131220
01/03/2020 09:45, 0.031750, 2.298030, 16.372160, 12.217560, 20.611130
01/03/2020 10:00, 0, 3.398750, 15.688830, 10.312440, 19.728930
01/03/2020 10:15, 0, 3.129260, 16.554440, 8.995530, 24.435360
01/03/2020 10:30, 0, 6.414460, 15.064140, 8.6023, 36.599920
01/03/2020 10:45, 0, 8.444370, 19.143130, 14.308640, 41.105160
01/03/2020 11:00, 0, 13.568680, 15.267810, 17.318260, 50.159060
01/03/2020 11:15, 0, 16.960610, 15.0264, 22.394140, 62.640040
01/03/2020 11:30, 0, 17.493820, 10.268160, 23.297360, 64.0786
01/03/2020 11:45, 0, 18.4103, 10.289320, 21.556660, 71.665410
01/03/2020 12:00, 0, 23.160120, 9.073130, 25.345430, 72.660370
01/03/2020 12:15, 0, 25.989560, 3.551360, 24.668980, 77.817580
01/03/2020 12:30, 0, 29.955960, 4.594740, 26.648710, 76.385050
01/03/2020 12:45, 0, 28.593650, 5.472320, 28.338390, 79.050010
01/03/2020 13:00, 0, 31.650270, 5.740780, 25.886480, 77.7237
01/03/2020 13:15, 0, 42.924730, 11.396330, 26.585360, 76.262650
01/03/2020 13:30, 1.038580, 54.141050, 11.003060, 25.5857, 72.4962
01/03/2020 13:45, 17.409140, 57.782750, 10.760490, 26.688880, 69.071160
01/03/2020 14:00, 56.397090, 47.769480, 8.717680, 25.510540, 68.027660
01/03/2020 14:15, 77.072120, 51.661990, 11.874940, 25.705420, 61.413690
01/03/2020 14:30, 87.489030, 62.0606, 12.397690, 23.815010, 61.718670
01/03/2020 14:45, 88.624670, 67.788170, 15.343210, 24.166090, 64.875690
01/03/2020 15:00, 87.800380, 66.546870, 14.1672, 20.488470, 62.062560
01/03/2020 15:15, 90.193360, 69.877690, 19.570430, 20.927070, 58.232890
01/03/2020 15:30, 98.907310, 68.576180, 23.0084, 18.768040, 59.9231
01/03/2020 15:45, 89.089330, 65.434990, 20.1988, 19.751850, 54.424690
01/03/2020 16:00, 92.2981, 60.2733, 21.128910, 17.921160, 49.810370
01/03/2020 16:15, 86.3454, 54.097780, 20.310110, 15.543650, 47.177770
01/03/2020 16:30, 82.473190, 55.185070, 19.291080, 16.2437, 45.760620
01/03/2020 16:45, 80.663090, 66.032620, 22.198180, 15.3724, 44.010870
01/03/2020 17:00, 83.757260, 72.6303, 19.321820, 13.607330, 47.653370
01/03/2020 17:15, 88.378220, 71.518730, 20.147310, 15.2733, 46.0195
01/03/2020 17:30, 102.392950, 61.848720, 22.206380, 17.863350, 51.879050
01/03/2020 17:45, 108.855020, 59.0363, 20.275660, 13.570570, 43.457370
01/03/2020 18:00, 108.328130, 65.253550, 24.707140, 13.928060, 40.986480
01/03/2020 18:15, 116.715640, 55.997510, 21.845670, 15.710190, 45.413280
01/03/2020 18:30, 121.481730, 53.878060, 23.482340, 13.350690, 44.113280
01/03/2020 18:45, 121.393180, 60.554950, 21.940690, 14.954320, 45.571360
01/03/2020 19:00, 119.646420, 70.491130, 20.155450, 15.310210, 49.428690
01/03/2020 19:15, 112.500330, 69.048570, 16.924420, 14.466760, 43.5441
01/03/2020 19:30, 110.508520, 66.309250, 13.718770, 14.004380, 43.573340
01/03/2020 19:45, 105.6833, 73.116530, 12.199750, 13.6286, 41.510790
01/03/2020 20:00, 99.877730, 74.340980, 9.712720, 15.988550, 46.917520
01/03/2020 20:15, 90.170820, 75.8065, 9.186640, 15.3462, 43.675860
01/03/2020 20:30, 93.173550, 73.142620, 7.561320, 17.324320, 45.904870
01/03/2020 20:45, 88.412810, 55.729940, 7.059050, 14.710990, 42.069880
01/03/2020 21:00, 86.964410, 46.5485, 6.405670, 15.511570, 45.974620
01/03/2020 21:15, 88.232870, 45.573930, 5.586810, 15.045130, 43.7514
01/03/2020 21:30, 85.6134, 35.775990, 6.330890, 13.769290, 44.241280
01/03/2020 21:45, 82.041380, 28.682590, 4.714930, 15.351080, 47.314230
01/03/2020 22:00, 77.432410, 22.423680, 3.195820, 17.800420, 51.896970
01/03/2020 22:15, 68.325060, 19.034240, 1.359780, 16.894610, 49.0074
01/03/2020 22:30, 61.470660, 21.650620, 0.758660, 17.430560, 49.786650
01/03/2020 22:45, 55.104960, 25.169910, 1.522330, 20.887090, 48.1095
01/03/2020 23:00, 55.935680, 24.5550, 4.867510, 19.732030, 48.039170
01/03/2020 23:15, 51.885330, 23.541420, 5.290880, 18.340080, 40.862230
01/03/2020 23:30, 46.947980, 19.198210, 3.778370, 13.728830, 36.929620
01/03/2020 23:45, 37.8965, 10.072430, 6.048270, 14.041120, 33.4295
02/03/2020 00:00, 38.577140, 5.327760, 3.368050, 11.068690, 27.988080
02/03/2020 00:15, 40.033180, 5.190540, 3.564550, 9.147120, 28.030090
02/03/2020 00:30, 44.755290, 5.524060, 3.135730, 8.813790, 25.995720
02/03/2020 00:45, 50.728470, 4.344080, 1.919880, 10.3823, 29.332260
02/03/2020 01:00, 53.176240, 1.2381, 1.796030, 10.172480, 28.285710
02/03/2020 01:15, 45.458670, 5.069780, 2.545190, 9.8890, 26.332990
02/03/2020 01:30, 40.220140, 19.532170, 3.636710, 11.622280, 27.808450
02/03/2020 01:45, 33.892610, 21.890610, 3.6997, 12.214280, 32.906610
02/03/2020 02:00, 35.5784, 20.543310, 5.534950, 16.391150, 43.153420
02/03/2020 02:15, 44.076590, 24.484350, 7.725660, 15.299010, 50.859040
02/03/2020 02:30, 51.710450, 19.762440, 9.9536, 14.2943, 44.682460
02/03/2020 02:45, 50.946130, 14.642320, 12.835310, 17.059380, 48.931770
02/03/2020 03:00, 52.082580, 14.292930, 14.6508, 15.802930, 44.428070
02/03/2020 03:15, 55.697970, 20.107320, 12.582360, 13.702210, 39.035730
02/03/2020 03:30, 56.952680, 25.418440, 12.095060, 14.582540, 38.054290
02/03/2020 03:45, 48.214030, 30.290630, 10.566840, 11.534180, 32.652810
02/03/2020 04:00, 40.241170, 31.196660, 11.157740, 11.656410, 29.164840
02/03/2020 04:15, 39.652560, 21.839290, 11.408270, 10.352690, 26.215870
02/03/2020 04:30, 41.720410, 21.649390, 11.299050, 8.356420, 22.357640
02/03/2020 04:45, 40.772110, 18.332930, 12.694220, 7.734330, 21.555320
02/03/2020 05:00, 41.954570, 14.008460, 13.757380, 7.930070, 21.347230
02/03/2020 05:15, 41.232710, 12.761330, 15.547840, 9.1960, 21.122890
02/03/2020 05:30, 32.697290, 17.040910, 12.446680, 9.190850, 19.598180
02/03/2020 05:45, 27.242280, 24.078980, 8.7261, 10.817710, 18.565890
02/03/2020 06:00, 24.471610, 25.78, 6.561870, 9.111330, 16.658540
02/03/2020 06:15, 29.284290, 29.804740, 6.956240, 9.101030, 14.924160
02/03/2020 06:30, 26.340580, 33.326780, 6.357680, 8.282140, 12.399970
02/03/2020 06:45, 17.318180, 33.145110, 7.027690, 9.267330, 12.717850
02/03/2020 07:00, 8.856460, 28.533420, 5.0874, 10.223370, 14.915340
