fechahora , ENEL GREEN POWER PERU S.A. -RUBI_CIRCUITO_1-5, ENEL GREEN POWER PERU S.A. -RUBI_CIRCUITO_6-10, ENGIE -INTIPAMPA_SOLAR, GTS MAJES S.A.C -GTSMAJES, GTS REPARTICION S.A.C. -GTSREPAR, MOQUEGUA FV S.A.C. -MOQUEGUA_SOLAR, PANAMERICANA  SOLAR SAC. -PANAM_SOLAR, TACNA SOLAR SAC. -TACNA_SOLAR
01/03/2020 00:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 00:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 00:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 01:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 01:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 01:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 01:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 02:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 02:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 02:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 02:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 03:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 03:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 03:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 03:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 04:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 04:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 04:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 04:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 05:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 05:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 05:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 05:45, 0, 0, 0, 0, 0, 0, 0.2113, 0
01/03/2020 06:00, 0.482380, 0.559070, 0.053430, 0.0252, 0.049080, 0, 0.455180, 0.524390
01/03/2020 06:15, 1.724630, 1.761630, 0.694780, 0.4676, 0.534970, 0.083380, 0.837870, 2.522160
01/03/2020 06:30, 2.821410, 2.809310, 1.9174, 1.2452, 1.151970, 0.202640, 1.794390, 6.285120
01/03/2020 06:45, 14.220180, 13.554020, 2.295180, 2.0736, 1.966460, 0.366390, 2.637930, 10.182040
01/03/2020 07:00, 29.043090, 29.948010, 5.892860, 2.9172, 3.187580, 0.625080, 2.644690, 12.907150
01/03/2020 07:15, 41.278660, 42.782710, 20.714060, 3.7164, 4.447280, 1.282560, 4.640710, 14.039910
01/03/2020 07:30, 52.5352, 54.4518, 25.821840, 3.8756, 4.9422, 2.342310, 8.656760, 14.871580
01/03/2020 07:45, 60.209660, 63.340590, 26.951380, 6.4984, 6.265470, 3.169640, 10.062530, 15.637850
01/03/2020 08:00, 61.655410, 66.215570, 29.118690, 10.1088, 7.597930, 3.845990, 15.841680, 16.174310
01/03/2020 08:15, 63.754060, 68.396550, 34.8824, 9.0508, 9.044150, 5.605740, 16.578290, 16.578990
01/03/2020 08:30, 63.404680, 68.786890, 34.398440, 10.8852, 8.450590, 7.931880, 16.3631, 16.883890
01/03/2020 08:45, 64.516920, 69.463640, 34.430440, 11.4712, 11.853720, 10.135030, 16.262540, 17.137450
01/03/2020 09:00, 63.734910, 67.146780, 34.770240, 12.5524, 12.548990, 13.671890, 16.2033, 17.2671
01/03/2020 09:15, 65.861650, 67.846640, 30.755110, 13.5072, 13.347150, 15.338710, 16.041940, 17.470060
01/03/2020 09:30, 68.368190, 72.877150, 33.532220, 14.4468, 14.242540, 14.970490, 16.218430, 17.567830
01/03/2020 09:45, 68.668030, 73.260960, 34.806450, 15.1860, 15.218710, 14.834670, 16.389320, 17.561220
01/03/2020 10:00, 68.345190, 73.832960, 33.247620, 16.6384, 15.959140, 14.833230, 16.344840, 17.631230
01/03/2020 10:15, 69.161160, 73.225480, 34.0184, 16.3136, 16.604380, 14.9458, 16.301570, 17.632990
01/03/2020 10:30, 68.682690, 73.020370, 28.459160, 16.9656, 17.203480, 14.958370, 16.290810, 17.571350
01/03/2020 10:45, 67.576270, 73.223230, 26.985770, 17.7328, 17.6265, 15.012470, 16.226570, 17.6250
01/03/2020 11:00, 69.924470, 74.290130, 31.326370, 17.9124, 17.990060, 15.000420, 16.164090, 17.6509
01/03/2020 11:15, 69.576590, 73.451330, 23.434280, 17.6556, 18.432120, 15.067050, 16.396740, 17.692610
01/03/2020 11:30, 69.973370, 68.314750, 22.910650, 18.1712, 13.693160, 15.008150, 16.467080, 17.640040
01/03/2020 11:45, 71.457940, 65.832160, 18.350340, 17.4068, 10.930710, 15.031860, 16.456110, 17.594640
01/03/2020 12:00, 67.242730, 65.019730, 19.303280, 15.4684, 14.374270, 15.253130, 16.505330, 17.562050
01/03/2020 12:15, 68.878020, 64.7560, 18.705890, 17.1544, 15.1522, 15.382090, 16.413370, 17.597670
01/03/2020 12:30, 60.3086, 67.088540, 18.521480, 15.1520, 16.221330, 15.603250, 16.436070, 17.626170
01/03/2020 12:45, 56.429040, 72.426410, 18.267530, 18.5556, 12.526550, 15.5993, 16.493850, 17.666350
01/03/2020 13:00, 40.554930, 50.920890, 18.541070, 18.4172, 15.125320, 15.456920, 16.243030, 17.674580
01/03/2020 13:15, 33.9283, 34.567370, 15.5438, 18.0936, 13.544120, 15.477320, 16.504020, 17.674820
01/03/2020 13:30, 39.886090, 33.425410, 19.449810, 17.9792, 13.531840, 15.332990, 16.5549, 17.698180
01/03/2020 13:45, 57.075390, 38.047290, 25.755190, 17.7756, 12.433180, 15.286420, 16.514930, 17.722580
01/03/2020 14:00, 68.669060, 69.899280, 35.129590, 17.4460, 15.180160, 15.193280, 16.451230, 17.693740
01/03/2020 14:15, 70.173040, 75.6799, 34.223790, 17.1440, 15.009440, 15.205260, 16.250180, 17.679550
01/03/2020 14:30, 71.264810, 74.965260, 30.940240, 16.6304, 16.362150, 14.910510, 16.068540, 17.638740
01/03/2020 14:45, 70.707330, 70.466180, 30.291480, 15.5760, 15.623850, 15.242820, 16.026820, 17.577170
01/03/2020 15:00, 66.0899, 68.579880, 30.3281, 15.3764, 13.476450, 15.319730, 15.463250, 17.444010
01/03/2020 15:15, 70.6277, 66.371890, 32.847620, 14.0988, 8.945510, 15.145080, 15.569260, 17.310060
01/03/2020 15:30, 72.426230, 73.556010, 25.308230, 12.6680, 6.529760, 14.756350, 14.730930, 17.104260
01/03/2020 15:45, 57.291230, 49.236150, 25.125490, 8.2096, 5.300250, 14.546580, 14.126620, 16.6848
01/03/2020 16:00, 46.864650, 35.513890, 21.797820, 7.3344, 4.259440, 14.259930, 13.032590, 15.977050
01/03/2020 16:15, 52.260910, 47.339760, 12.792670, 5.7088, 3.892560, 14.137310, 11.225990, 15.245810
01/03/2020 16:30, 62.7771, 63.046250, 10.095410, 4.8728, 3.483480, 13.599050, 7.835930, 13.971790
01/03/2020 16:45, 56.3653, 58.947110, 10.056940, 5.1020, 4.784080, 13.152130, 4.220160, 12.394370
01/03/2020 17:00, 44.532650, 45.964920, 10.340610, 3.5624, 3.046030, 12.1982, 1.858290, 9.555560
01/03/2020 17:15, 32.494080, 32.786060, 9.623040, 1.9160, 1.761470, 10.312910, 0.414470, 6.154620
01/03/2020 17:30, 20.601790, 20.817340, 11.434850, 1.3040, 1.545350, 6.954270, 0, 3.3420
01/03/2020 17:45, 10.288780, 10.213170, 6.155530, 0.9940, 1.167750, 3.522490, 0, 1.112010
01/03/2020 18:00, 3.579080, 3.688620, 2.262430, 0.2960, 0.477580, 1.453120, 0, 0.039660
01/03/2020 18:15, 0.640160, 0.7428, 0.453370, 0.0024, 0.009040, 0.348760, 0, 0
01/03/2020 18:30, 0.0039, 0.0117, 0, 0, 0, 0, 0, 0
01/03/2020 18:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 19:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 19:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 19:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 19:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 20:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 20:15, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 20:30, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 20:45, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 21:00, 0, 0, 0, 0, 0, 0, 0, 0
01/03/2020 21:15, 0, 0, 0, 0, 0, 0, 0, 0
